n,labels
"(:Info:Turnout {roster2018: 4523,kommun: Aneby,roster2022: 4511,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 5029,kommun: Aneby,roster2022: 5113,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 1724,kommun: Arboga,roster2022: 1600,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 629,kommun: Arboga,roster2022: 474,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 357,kommun: Arboga,roster2022: 324,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 473,kommun: Arboga,roster2022: 434,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 3117,kommun: Arboga,roster2022: 3069,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 531,kommun: Arboga,roster2022: 437,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 293,kommun: Arboga,roster2022: 316,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 2004,kommun: Arboga,roster2022: 2324,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 105,kommun: Arboga,roster2022: 103,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 9233,kommun: Arboga,roster2022: 9081,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 7,kommun: Arboga,roster2022: 3,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 94,kommun: Arboga,roster2022: 103,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 5,kommun: Arboga,roster2022: 8,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 9339,kommun: Arboga,roster2022: 9195,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 10678,kommun: Arboga,roster2022: 10941,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 163,kommun: Arjeplog,roster2022: 155,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 142,kommun: Arjeplog,roster2022: 77,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 53,kommun: Arjeplog,roster2022: 51,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 132,kommun: Arjeplog,roster2022: 151,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 647,kommun: Arjeplog,roster2022: 651,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 263,kommun: Arjeplog,roster2022: 134,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 38,kommun: Arjeplog,roster2022: 59,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 373,kommun: Arjeplog,roster2022: 426,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 28,kommun: Arjeplog,roster2022: 13,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 1839,kommun: Arjeplog,roster2022: 1717,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Arjeplog,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
