n,labels
"(:Partiresultat:Vänsterpartiet {roster2018: 23021,kommun: Malmö,roster2022: 23986,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 10783,kommun: Malmö,roster2022: 14386,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 32480,kommun: Malmö,roster2022: 31433,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 3880,kommun: Malmö,roster2022: 6133,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 193298,kommun: Malmö,roster2022: 192045,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 80,kommun: Malmö,roster2022: 36,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 1423,kommun: Malmö,roster2022: 1687,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 130,kommun: Malmö,roster2022: 192,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 194931,kommun: Malmö,roster2022: 193960,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 237691,kommun: Malmö,roster2022: 251172,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 1282,kommun: Malung-Sälen,roster2022: 1280,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 627,kommun: Malung-Sälen,roster2022: 368,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 213,kommun: Malung-Sälen,roster2022: 222,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 401,kommun: Malung-Sälen,roster2022: 440,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1958,kommun: Malung-Sälen,roster2022: 1777,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 411,kommun: Malung-Sälen,roster2022: 279,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 117,kommun: Malung-Sälen,roster2022: 128,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1660,kommun: Malung-Sälen,roster2022: 2180,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 87,kommun: Malung-Sälen,roster2022: 112,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 6756,kommun: Malung-Sälen,roster2022: 6786,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 0,kommun: Malung-Sälen,roster2022: 0,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 76,kommun: Malung-Sälen,roster2022: 101,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 3,kommun: Malung-Sälen,roster2022: 9,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 6835,kommun: Malung-Sälen,roster2022: 6896,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 7858,kommun: Malung-Sälen,roster2022: 7983,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 176,kommun: Malå,roster2022: 171,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 157,kommun: Malå,roster2022: 79,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 76,kommun: Malå,roster2022: 86,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 110,kommun: Malå,roster2022: 105,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 843,kommun: Malå,roster2022: 724,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 278,kommun: Malå,roster2022: 163,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 20,kommun: Malå,roster2022: 26,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 283,kommun: Malå,roster2022: 441,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 18,kommun: Malå,roster2022: 12,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 1961,kommun: Malå,roster2022: 1807,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Malå,roster2022: 0,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 33,kommun: Malå,roster2022: 45,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 1,kommun: Malå,roster2022: 1,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 1996,kommun: Malå,roster2022: 1853,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 2347,kommun: Malå,roster2022: 2259,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 3266,kommun: Mariestad,roster2022: 3350,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 1355,kommun: Mariestad,roster2022: 910,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 606,kommun: Mariestad,roster2022: 399,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 1200,kommun: Mariestad,roster2022: 952,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 5415,kommun: Mariestad,roster2022: 5625,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 977,kommun: Mariestad,roster2022: 750,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 508,kommun: Mariestad,roster2022: 521,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 2887,kommun: Mariestad,roster2022: 3771,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 195,kommun: Mariestad,roster2022: 185,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 16409,kommun: Mariestad,roster2022: 16463,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 6,kommun: Mariestad,roster2022: 3,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 173,kommun: Mariestad,roster2022: 247,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 6,kommun: Mariestad,roster2022: 32,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 16594,kommun: Mariestad,roster2022: 16745,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 18967,kommun: Mariestad,roster2022: 19407,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 3640,kommun: Mark,roster2022: 3733,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 2426,kommun: Mark,roster2022: 1713,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 1243,kommun: Mark,roster2022: 722,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 1608,kommun: Mark,roster2022: 1557,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 6624,kommun: Mark,roster2022: 6909,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 1653,kommun: Mark,roster2022: 1212,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 754,kommun: Mark,roster2022: 773,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 4515,kommun: Mark,roster2022: 5627,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 307,kommun: Mark,roster2022: 386,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 22770,kommun: Mark,roster2022: 22632,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 10,kommun: Mark,roster2022: 3,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 247,kommun: Mark,roster2022: 290,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 10,kommun: Mark,roster2022: 22,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 23037,kommun: Mark,roster2022: 22947,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 26180,kommun: Mark,roster2022: 26700,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 986,kommun: Markaryd,roster2022: 924,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 372,kommun: Markaryd,roster2022: 236,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 109,kommun: Markaryd,roster2022: 108,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 632,kommun: Markaryd,roster2022: 574,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1615,kommun: Markaryd,roster2022: 1615,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 187,kommun: Markaryd,roster2022: 191,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 94,kommun: Markaryd,roster2022: 87,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1883,kommun: Markaryd,roster2022: 2136,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 95,kommun: Markaryd,roster2022: 98,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 5973,kommun: Markaryd,roster2022: 5969,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 2,kommun: Markaryd,roster2022: 2,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 70,kommun: Markaryd,roster2022: 62,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 1,kommun: Markaryd,roster2022: 2,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 6046,kommun: Markaryd,roster2022: 6035,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 7052,kommun: Markaryd,roster2022: 7356,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 947,kommun: Mellerud,roster2022: 993,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 692,kommun: Mellerud,roster2022: 427,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 159,kommun: Mellerud,roster2022: 134,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 411,kommun: Mellerud,roster2022: 391,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1462,kommun: Mellerud,roster2022: 1501,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 250,kommun: Mellerud,roster2022: 195,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 146,kommun: Mellerud,roster2022: 153,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1651,kommun: Mellerud,roster2022: 1866,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 65,kommun: Mellerud,roster2022: 106,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 5783,kommun: Mellerud,roster2022: 5766,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 3,kommun: Mellerud,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 49,kommun: Mellerud,roster2022: 72,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 2,kommun: Mellerud,roster2022: 3,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 5837,kommun: Mellerud,roster2022: 5842,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 6778,kommun: Mellerud,roster2022: 6919,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 3674,kommun: Mjölby,roster2022: 3709,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 1480,kommun: Mjölby,roster2022: 1056,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 803,kommun: Mjölby,roster2022: 738,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 1161,kommun: Mjölby,roster2022: 1114,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 5743,kommun: Mjölby,roster2022: 5840,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 1029,kommun: Mjölby,roster2022: 731,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 512,kommun: Mjölby,roster2022: 518,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 3517,kommun: Mjölby,roster2022: 4496,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 200,kommun: Mjölby,roster2022: 176,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 18119,kommun: Mjölby,roster2022: 18378,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 3,kommun: Mjölby,roster2022: 2,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 196,kommun: Mjölby,roster2022: 198,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 8,kommun: Mjölby,roster2022: 12,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 18326,kommun: Mjölby,roster2022: 18590,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 20677,kommun: Mjölby,roster2022: 21414,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 2157,kommun: Mora,roster2022: 2205,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 1624,kommun: Mora,roster2022: 976,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 464,kommun: Mora,roster2022: 393,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 932,kommun: Mora,roster2022: 893,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 4016,kommun: Mora,roster2022: 4075,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 842,kommun: Mora,roster2022: 596,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 397,kommun: Mora,roster2022: 447,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 3099,kommun: Mora,roster2022: 3982,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 217,kommun: Mora,roster2022: 184,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 13748,kommun: Mora,roster2022: 13751,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Mora,roster2022: 0,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 150,kommun: Mora,roster2022: 129,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 5,kommun: Mora,roster2022: 21,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 13904,kommun: Mora,roster2022: 13901,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 16056,kommun: Mora,roster2022: 16295,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 5550,kommun: Motala,roster2022: 5259,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 1933,kommun: Motala,roster2022: 1433,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 1260,kommun: Motala,roster2022: 988,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 1772,kommun: Motala,roster2022: 1547,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 9295,kommun: Motala,roster2022: 9611,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 1806,kommun: Motala,roster2022: 1245,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 760,kommun: Motala,roster2022: 762,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 5781,kommun: Motala,roster2022: 6989,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 293,kommun: Motala,roster2022: 270,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 28450,kommun: Motala,roster2022: 28104,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 7,kommun: Motala,roster2022: 8,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 301,kommun: Motala,roster2022: 319,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 17,kommun: Motala,roster2022: 18,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 28775,kommun: Motala,roster2022: 28449,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 32611,kommun: Motala,roster2022: 33347,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 681,kommun: Mullsjö,roster2022: 805,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 337,kommun: Mullsjö,roster2022: 280,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 127,kommun: Mullsjö,roster2022: 156,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 864,kommun: Mullsjö,roster2022: 612,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1220,kommun: Mullsjö,roster2022: 1274,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 259,kommun: Mullsjö,roster2022: 191,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 193,kommun: Mullsjö,roster2022: 188,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1065,kommun: Mullsjö,roster2022: 1326,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 77,kommun: Mullsjö,roster2022: 71,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 4823,kommun: Mullsjö,roster2022: 4903,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Mullsjö,roster2022: 0,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 48,kommun: Mullsjö,roster2022: 59,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 0,kommun: Mullsjö,roster2022: 6,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 4872,kommun: Mullsjö,roster2022: 4968,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 5440,kommun: Mullsjö,roster2022: 5604,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 1122,kommun: Munkedal,roster2022: 1043,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 614,kommun: Munkedal,roster2022: 403,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 208,kommun: Munkedal,roster2022: 163,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 480,kommun: Munkedal,roster2022: 529,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1750,kommun: Munkedal,roster2022: 1818,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 416,kommun: Munkedal,roster2022: 293,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 157,kommun: Munkedal,roster2022: 160,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1831,kommun: Munkedal,roster2022: 2121,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 96,kommun: Munkedal,roster2022: 100,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 6674,kommun: Munkedal,roster2022: 6630,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Munkedal,roster2022: 2,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 78,kommun: Munkedal,roster2022: 97,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 3,kommun: Munkedal,roster2022: 4,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 6756,kommun: Munkedal,roster2022: 6733,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 7836,kommun: Munkedal,roster2022: 8038,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 195,kommun: Munkfors,roster2022: 232,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 190,kommun: Munkfors,roster2022: 125,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 68,kommun: Munkfors,roster2022: 55,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 92,kommun: Munkfors,roster2022: 99,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1221,kommun: Munkfors,roster2022: 991,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 143,kommun: Munkfors,roster2022: 115,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 32,kommun: Munkfors,roster2022: 47,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 361,kommun: Munkfors,roster2022: 560,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 38,kommun: Munkfors,roster2022: 26,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 2340,kommun: Munkfors,roster2022: 2250,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 0,kommun: Munkfors,roster2022: 0,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 24,kommun: Munkfors,roster2022: 30,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 0,kommun: Munkfors,roster2022: 1,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 2364,kommun: Munkfors,roster2022: 2281,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 2777,kommun: Munkfors,roster2022: 2714,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 9891,kommun: Mölndal,roster2022: 9399,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 3541,kommun: Mölndal,roster2022: 3168,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
